event,type,eventvalue,eventID,userID,createtime,modifiedtime
Implement_Tasks,positive,300,900001,321,2024/2/6 16:40,2024/2/6 16:40
Implement_Tasks_ID,id,50001,900001,321,2024/2/6 16:40,2024/2/6 16:40
Redeem_Gifts,negative,50,900002,321,2024/3/6 16:40,2024/3/6 16:40
Redeem_Gifts_ID,id,60001,900002,321,2024/3/6 16:40,2024/3/6 16:40
FixedDeposit_Value,open,200,900003,321,2022/3/2 16:40,2024/3/6 16:40
FixedDeposit_ID,id,70002,900003,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_Duration,year,2,900003,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_StartTime,time,2023/3/2 16:40,900003,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_EndTime,time,2025/3/2 16:40,900003,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_Interest,positive,30,900003,321,2024/2/6 16:40,2024/2/6 16:40
Implement_Tasks,positive,30,900004,321,2024/2/6 16:40,2024/2/6 16:40
Implement_Tasks_ID,id,50002,900004,321,2024/2/6 16:40,2024/2/6 16:40
Implement_Tasks,positive,30,900005,321,2024/2/6 16:40,2024/2/6 16:40
Implement_Tasks_ID,id,50003,900005,321,2024/2/6 16:40,2024/2/6 16:40
Implement_Tasks,positive,30,900006,321,2024/3/6 16:40,2024/3/6 16:40
Implement_Tasks_ID,id,50004,900006,321,2024/3/6 16:40,2024/3/6 16:40
Implement_Tasks,positive,200,900007,321,2024/4/6 16:40,2024/4/6 16:40
Implement_Tasks_ID,id,50005,900007,321,2024/4/6 16:40,2024/4/6 16:40
Implement_Tasks,positive,99,900008,321,2024/4/13 15:00,2024/4/13 15:00
Implement_Tasks_ID,id,50011,900008,321,2024/4/13 15:00,2024/4/13 15:00
Implement_Tasks,positive,88,900009,321,2024/4/13 15:05,2024/4/13 15:05
Implement_Tasks_ID,id,50012,900009,321,2024/4/13 15:05,2024/4/13 15:05
Implement_Tasks,positive,10,900010,321,2024/4/13 22:06,2024/4/13 22:06
Implement_Tasks_ID,id,50001,900010,321,2024/4/13 22:06,2024/4/13 22:06
Implement_Tasks,positive,20,900011,321,2024/4/13 22:06,2024/4/13 22:06
Implement_Tasks_ID,id,50006,900011,321,2024/4/13 22:06,2024/4/13 22:06
Implement_Tasks,positive,10,900012,321,2024/4/13 22:07,2024/4/13 22:07
Implement_Tasks_ID,id,50003,900012,321,2024/4/13 22:07,2024/4/13 22:07
Implement_Tasks,positive,30,900013,321,2024/4/14 11:32,2024/4/14 11:32
Implement_Tasks_ID,id,50019,900013,321,2024/4/14 11:32,2024/4/14 11:32
Implement_Tasks,positive,10,900014,321,2024/4/14 14:50,2024/4/14 14:50
Implement_Tasks_ID,id,50009,900014,321,2024/4/14 14:50,2024/4/14 14:50
Implement_Tasks,positive,33,900015,328,2024/4/14 22:03,2024/4/14 22:03
Implement_Tasks_ID,id,50026,900015,328,2024/4/14 22:03,2024/4/14 22:03
Implement_Tasks,positive,44,900016,328,2024/4/14 22:04,2024/4/14 22:04
Implement_Tasks_ID,id,50027,900016,328,2024/4/14 22:04,2024/4/14 22:04
Implement_Tasks,positive,9,900017,321,2024/4/15 00:00,2024/4/15 00:00
Implement_Tasks_ID,id,50013,900017,321,2024/4/15 00:00,2024/4/15 00:00
Implement_Tasks,positive,10,900018,321,2024/4/15 07:32,2024/4/15 07:32
Implement_Tasks_ID,id,50007,900018,321,2024/4/15 07:32,2024/4/15 07:32
FixedDeposit_Value,close,200,900019,321,2022/3/2 16:40,2024/3/6 16:40
FixedDeposit_ID,id,70001,900019,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_Duration,year,1,900019,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_StartTime,time,2023/3/2 16:40,900019,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_EndTime,time,2024/3/2 16:40,900019,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_Interest,positive,20,900019,321,2024/2/6 16:40,2024/2/6 16:40
