taskid,taskname,taskvalue,creator,status,createtime,modifiedtime
50001,wish dish for one day,10,321,Done,2024/4/13 11:46,2024/4/13 22:06
50003,toy3,10,321,Done,2024/4/13 11:47,2024/4/13 22:07
50006,toy6,20,321,Done,2024/4/13 11:47,2024/4/13 22:06
50007,toy7,10,321,Done,2024/4/13 11:46,2024-04-15 07:32:45
50009,toy9,10,321,Done,2024/4/13 11:47,2024-04-14 14:50:32
50010,toy10,10,321,Done,2024/4/13 11:47,2024/4/13 11:47
50011,test222,99,321,Pending Approval,2024/4/13 11:46,2024/4/13 15:00
50012,toy88,88,321,Done,2024/4/13 11:47,2024/4/13 15:05
50013,toy9,9,321,Done,2024/4/13 11:47,2024-04-15 00:00:07
50015,toy55,55,321,Done,2024/4/13 11:47,2024/4/13 11:47
50016,tast 111,11,392,Open,2024/4/13 21:57,2024-04-14 13:09:25
50017,task11,20,392,Open,2024/4/13 21:58,2024/4/13 21:58
50019,tttt,30,321,Done,2024/4/13 22:08,2024-04-14 11:32:52
50020,test-maggie2,199,321,Rejected,2024/4/14 10:54,2024-04-15 00:00:14
50021,test99,99,321,Pending Approval,2024/4/14 10:54,2024/4/14 10:54
50023,test123,123,321,Pending Approval,2024-04-14 14:50:20,2024-04-14 14:50:20
50024,test11,11,328,Open,2024-04-14 22:01:34,2024-04-14 22:01:34
50025,test22,22,328,Open,2024-04-14 22:01:45,2024-04-14 22:01:45
50026,test33,33,328,Done,2024-04-14 22:02:10,2024-04-14 22:03:38
50027,test44,44,328,Done,2024-04-14 22:02:21,2024-04-14 22:04:22
50028,test55,55,328,Pending Approval,2024-04-14 22:02:31,2024-04-14 22:02:31
50029,test88,88,321,Rejected,2024-04-14 23:59:56,2024-04-15 19:57:49
50030,test10,10,321,Rejected,2024-04-15 07:26:40,2024-04-15 07:32:28
50031,test13,13,321,Open,2024-04-15 07:26:48,2024-04-15 07:26:48
50032,test222,10,321,Open,2024-04-15 11:39:10,2024-04-15 11:39:10
50033,test001,10,321,Open,2024-04-15 19:58:02,2024-04-15 19:58:02
50034,test5 - task1,20,327,Open,2024-04-15 20:52:45,2024-04-15 20:52:45
50035,tast5 - test20,20,327,Done,2024-04-15 20:53:03,2024-04-15 20:54:11
50036,test5 - task 80,80,327,Done,2024-04-15 20:53:12,2024/4/15 21:03
50037,test5 - task 70,70,327,Open,2024-04-15 20:53:47,2024-04-15 20:53:47
50038,test5 - task 16,16,327,Pending Approval,2024-04-15 20:53:58,2024-04-15 20:53:58
